Name,Neighborhood/City,2017,2018,2019,2020
Blue Duck Tavern,West End,1 Michelin star,1 Michelin star,1 Michelin star,
Bresca,Logan Circle,,,1 Michelin star,1 Michelin star
Fiola,Penn Quarter,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Gravitas,Ivy City,,,,1 Michelin star
Inn at Little Washington,"Washington, VA",2 Michelin stars,2 Michelin stars,3 Michelin stars,3 Michelin stars
Kinship,Mount Vernon Square,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Komi,Dupont Circle,,1 Michelin star,1 Michelin star,1 Michelin star
Maydan,U Street,,,,1 Michelin star
Masseria,Union Market,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Little Pearl,Eastern Market,,,,1 Michelin star
M̩tier,Mount Vernon Square,,1 Michelin star,1 Michelin star,1 Michelin star
minibar,Penn Quarter,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars
Pineapple & Pearls,Eastern Market,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars
Plume,Downtown,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Rose's Luxury,Eastern Market,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Siren,Logan Circle,,,1 Michelin star,
Sushi Nakazawa,Downtown,,,,1 Michelin star
Sushi Taro,Dupont Circle,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Tail Up Goat,Adams Morgan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
The Dabney,Shaw,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
