Name,City/Neighborhood,2008,2009,No Guide (2010-2018),2019
Addison,San Diego,,1 Michelin star,,1 Michelin star
Asanebo,Los Angeles - Studio City,1 Michelin star,1 Michelin star,,
Bastide,West Hollywood,,1 Michelin star,,
Bistro Na's,Temple City,,1 Michelin star,,1 Michelin star
CUT by Wolfgang Puck,Beverly Hills,1 Michelin star,1 Michelin star,,1 Michelin star
Dialogue,Santa Monica,,1 Michelin star,,1 Michelin star
Hana Re,Costa Mesa,,1 Michelin star,,1 Michelin star
Hatfield's,Los Angeles,,1 Michelin star,,
Hayato,Los Angeles,,1 Michelin star,,1 Michelin star
Joe's Restaurant,Los Angeles - Venice,1 Michelin star,,,
Kali,Los Angeles,,1 Michelin star,,1 Michelin star
Kato,Los Angeles,,1 Michelin star,,1 Michelin star
La Botte,Santa Monica,1 Michelin star,1 Michelin star,,
Dining Room at the Langham Huntington,Pasadena,1 Michelin star,1 Michelin star,,
Le Comptoir,Los Angeles,,1 Michelin star,,1 Michelin star
Matsuhisa,Beverly Hills,1 Michelin star,,,
Maude,Los Angeles,,1 Michelin star,,1 Michelin star
M̩lisse,Santa Monica,2 Michelin stars,2 Michelin stars,,
Mori Sushi,Los Angeles,1 Michelin star,1 Michelin star,,1 Michelin star
n/naka,Los Angeles,,2 Michelin stars,,2 Michelin stars
Nozawa Bar,Beverly Hills,,1 Michelin star,,1 Michelin star
Orsa & Winston,Los Angeles,,1 Michelin star,,1 Michelin star
Ortolan,Los Angeles,1 Michelin star,1 Michelin star,,
Osteria Mozza,Los Angeles,,1 Michelin star,,1 Michelin star
Providence,Los Angeles - Hollywood,1 Michelin star,2 Michelin stars,,2 Michelin stars
Patina,Los Angeles,1 Michelin star,1 Michelin star,,
Q Sushi,Los Angeles,,1 Michelin star,,1 Michelin star
Rustic Canyon,Los Angeles,,1 Michelin star,,1 Michelin star
Saddle Peak Lodge,Calabasas,1 Michelin star,,,
Shibumi,Los Angeles,,1 Michelin star,,1 Michelin star
Shin Sushi,Los Angeles,,1 Michelin star,,1 Michelin star
Shunji,Los Angeles,,1 Michelin star,,1 Michelin star
Somni,Beverly Hills,,2 Michelin stars,,2 Michelin stars
Sona,West Hollywood,1 Michelin star,1 Michelin star,,
Spago,Beverly Hills,2 Michelin stars,2 Michelin stars,,
Sushi Ginza Onodera,Los Angeles,,2 Michelin stars,,2 Michelin stars
Sushi Zo,Los Angeles,,1 Michelin star,,
Taco Maria,Costa Mesa,,1 Michelin star,,1 Michelin star
Trois Mec,Los Angeles,,1 Michelin star,,1 Michelin star
Trattoria Tre Venezie,Pasadena,1 Michelin star,1 Michelin star,,
Urasawa,Beverly Hills,2 Michelin stars,2 Michelin stars,,2 Michelin stars
Valentino,Santa Monica,1 Michelin star,1 Michelin star,,
Vespertine,Culver City,,2 Michelin stars,,2 Michelin stars
Water Grill,Los Angeles,1 Michelin star,1 Michelin star,,