business_name,rating,review_count,price_category
Westfield Century City,3.5 star rating,1124,"$$$Shopping Centers, Food Court, Department Stores"
51. Han Bat Sul Lung Tang,4.5 star rating,2271,"$$Korean, Comfort Food, Soup"
52. Angry Chickz,4.5 star rating,917,"$$Southern, Comfort Food, Chicken Shop"
53. Dave’s Hot Chicken,4 star rating,60,Chicken Shop
54. AOC,4 star rating,2314,"$$$Wine Bars, Tapas Bars, Cocktail Bars"
55. Haidilao Hot Pot,4 star rating,59,Hot Pot
56. Tracey’s Belizean Restaurant,4.5 star rating,130,$$Caribbean
57. Hae Jang Chon Korean BBQ Restaurant,4 star rating,5018,"$$Korean, Barbeque"
58. Myungrang Hot Dog-California Market LA,4.5 star rating,854,$Hot Dogs
59. Lala’s Argentine Grill,4 star rating,1992,"$$Argentine, Steakhouses, Sandwiches"
60. Sun Nong Dan,4 star rating,1679,"$$Korean, Soup"
Westfield Century City,3.5 star rating,1124,"$$$Shopping Centers, Department Stores, Food Court"
151. Marugame Udon,4 star rating,185,"$$Japanese, Noodles"
152. Granny’s Kitchen,4 star rating,356,"$$Soul Food, Southern"
153. Quarters Korean BBQ,4 star rating,2807,"$$Korean, Barbeque, Tapas Bars"
154. Burgers Never Say Die,4 star rating,643,$$Burgers
155. Three Borders Brunch & Grill,5 star rating,353,"$$Breakfast & Brunch, American (New), Latin American"
156. Caveman Kitchen,4 star rating,481,"$$Latin American, Burgers, Peruvian"
157. Dulan’s On Crenshaw,4 star rating,660,$$Soul Food
158. Alta West Adams,4 star rating,345,"$$Soul Food, Venues & Event Spaces"
159. Ronnie’s Kickin,4.5 star rating,50,"Sandwiches, Comfort Food"
160. The Kimbap,4.5 star rating,586,$Korean
Westfield Century City,3.5 star rating,1124,"$$$Department Stores, Food Court, Shopping Centers"
11. Hangari Kalguksu,4.5 star rating,1708,"$$Korean, Noodles"
12. Wurstküche,4 star rating,8422,"$$Hot Dogs, German, Gastropubs"
13. Easy Street Burgers,4.5 star rating,108,$Burgers
14. Langer’s Delicatessen,4.5 star rating,3824,"$$Delis, Sandwiches"
15. Eat This Cafe,4.5 star rating,1262,"$$Breakfast & Brunch, Sandwiches, Salad"
16. Strada Eateria & Bar,5 star rating,352,"$$Tapas/Small Plates, Bars, American (New)"
17. Carousel Restaurant,4.5 star rating,748,"$$Armenian, Lebanese"
18. Perch,4 star rating,8040,"$$$Lounges, French, Breakfast & Brunch"
19. E Stretto East Hollywood,5 star rating,5,Sandwiches
20. Pine & Crane,4.5 star rating,2322,"$$Taiwanese, Chinese, Bubble Tea"
Westfield Century City,3.5 star rating,1124,"$$$Department Stores, Food Court, Shopping Centers"
101. The Little Door,4 star rating,2113,"$$$French, Mediterranean, Modern European"
102. Tsujita LA Artisan Noodle,4 star rating,4032,"$$Ramen, Noodles"
103. LA Rose Cafe,4.5 star rating,1004,$$Filipino
104. BCD Tofu House,4 star rating,4347,$$Korean
105. Slurpin’ Ramen Bar - Los Angeles,4.5 star rating,4586,"$$Ramen, Noodles"
106. Katsu Sando,4 star rating,100,"Sandwiches, Japanese Curry"
107. Black Pearl,5 star rating,4,"Bubble Tea, Ice Cream & Frozen Yogurt, Korean"
108. Pearl River Deli,5 star rating,115,"$$Cantonese, Comfort Food"
109. Masa of Echo Park,4 star rating,4244,"$$Pizza, Sandwiches, Wraps"
110. Joe’s Falafel,4.5 star rating,2086,$$Mediterranean
Westfield Century City,3.5 star rating,1124,"$$$Food Court, Shopping Centers, Department Stores"
161. Bronzed Aussie,4.5 star rating,624,"$Australian, Comfort Food, Food Delivery Services"
162. Kismet,4 star rating,474,"$$Mediterranean, American (New), Middle Eastern"
163. The Wellesbourne,4 star rating,970,"$$$Lounges, Cocktail Bars, Tapas/Small Plates"
164. Infinitea Fresh Kosher Grill,5 star rating,2,"Falafel, Kebab"
165. Lao Tao,4 star rating,520,"$$Chinese, Taiwanese"
166. Panini Kabob Grill - Downtown LA,4 star rating,1498,"$$Mediterranean, Middle Eastern, Kebab"
167. Taste of Tehran,4.5 star rating,945,"$$Persian/Iranian, Middle Eastern, Halal"
168. KazuNori: The Original Hand Roll Bar,4 star rating,116,"$$Sushi Bars, Japanese"
169. Milpa Grille,5 star rating,128,$Latin American
170. Petit Trois,4 star rating,865,$$$French
Westfield Century City,3.5 star rating,1124,"$$$Shopping Centers, Department Stores, Food Court"
71. Stevie’s Creole Cafe,4 star rating,627,$$Cajun/Creole
72. Seongbukdong,4 star rating,1121,$$Korean
73. Yuko Kitchen,4.5 star rating,1591,$$Japanese
74. Versailles Cuban Food,4 star rating,2323,"$$Cuban, Sandwiches, Seafood"
75. El Cochinito Restaurant,4 star rating,756,$$Cuban
76. Daikokuya Little Tokyo,4 star rating,8604,"$$Ramen, Noodles"
77. Papa Cristo’s,4.5 star rating,1960,"$$Greek, Mediterranean, Bakeries"
78. ixlb DimSum Eats,4.5 star rating,666,$Dim Sum
79. Slab,4 star rating,433,$$Barbeque
80. LASA,4.5 star rating,502,"$$Filipino, American (New)"
Westfield Century City,3.5 star rating,1124,"$$$Shopping Centers, Department Stores, Food Court"
81. La Cevicheria,4.5 star rating,889,"$$Seafood, Latin American"
82. Otium,4 star rating,2028,$$$American (New)
83. Taqueria Los Anaya,4.5 star rating,1211,$$Mexican
84. Sqirl,4 star rating,2054,"$$American (New), Salad"
85. L’Antica Pizzeria Da Michele,4.5 star rating,726,"$$Pizza, Italian"
86. いざかや おせん- IZAKAYA OSEN,4.5 star rating,870,"$$Sushi Bars, Izakaya, Seafood"
87. Met Him At A Bar,4.5 star rating,183,"$$Italian, Cocktail Bars"
88. The Ivy,3.5 star rating,2002,$$$American (New)
89. Din Tai Fung,4 star rating,1637,"$$Taiwanese, Chinese, Desserts"
90. Bang Bang Noodles,4 star rating,97,"$$Street Vendors, Noodles"
Westfield Century City,3.5 star rating,1124,"$$$Shopping Centers, Food Court, Department Stores"
171. Raffi’s Place,4.5 star rating,4714,"$$Middle Eastern, Persian/Iranian, Armenian"
172. RiceBox,4.5 star rating,232,"$$Barbeque, Cantonese"
173. Orleans & York Deli,4 star rating,352,$$Delis
174. Tennessee Hot Chicken THC,5 star rating,354,"$$Food Stands, Sandwiches, Chicken Shop"
175. The Park’s Finest,4 star rating,2087,"$$Barbeque, Filipino, American (New)"
176. Chef Kang Sul Box,5 star rating,157,"$$Korean, Gastropubs, Chicken Wings"
177. Bowery Bungalow,4.5 star rating,477,"$$Lebanese, Mediterranean"
178. Michin Dak,4.5 star rating,413,"$$Chicken Wings, Chicken Shop, Asian Fusion"
179. The Carving Board,4.5 star rating,697,$$Sandwiches
180. Catch 56,4.5 star rating,525,"$$Seafood, British, Fish & Chips"
Westfield Century City,3.5 star rating,1124,"$$$Food Court, Department Stores, Shopping Centers"
21. Pine & Crane,4.5 star rating,2322,"$$Taiwanese, Chinese, Bubble Tea"
22. Cannabis Cafe,3.5 star rating,676,"Cannabis Dispensaries, Cafes"
23. Philippe the Original,4 star rating,6270,"$Sandwiches, Breakfast & Brunch, American (Traditional)"
24. La Pinata,3.5 star rating,11,"Mexican, Cocktail Bars, Breakfast & Brunch"
25. Mizlala,4.5 star rating,314,"$$Falafel, Middle Eastern"
26. JOEY DTLA,4.5 star rating,1000,American (New)
27. BROKEN MOUTH | Lee’s Homestyle,5 star rating,892,"$$Asian Fusion, Hawaiian, Korean"
28. Everyday Pocha,5 star rating,9,Korean
29. Angry Egret Dinette,5 star rating,7,Sandwiches
30. Morrison Atwater Village,4.5 star rating,4424,"$$Burgers, Bars"
Westfield Century City,3.5 star rating,1124,"$$$Food Court, Department Stores, Shopping Centers"
141. Crossroads,4 star rating,2224,"$$$Mediterranean, Breakfast & Brunch"
142. Openaire,4 star rating,692,"$$American (New), Breakfast & Brunch"
143. India’s Restaurant,4.5 star rating,2878,"$$Indian, Halal, Seafood"
144. CAVA,4 star rating,219,"$$Mediterranean, Salad"
145. Jopok Topokki,4.5 star rating,757,$$Korean
146. MDK Noodles,4 star rating,1263,"$$Korean, Noodles, Soup"
147. Best Fish Taco In Ensenada,4 star rating,2198,$Mexican
148. LA Prime,4 star rating,941,$$$$Steakhouses
149. LA Brisket,4.5 star rating,132,"$$Barbeque, Sandwiches"
150. Sanamluang Cafe,4 star rating,1547,$Thai
Westfield Century City,3.5 star rating,1124,"$$$Department Stores, Food Court, Shopping Centers"
1. FishPop,5 star rating,36,"Fish & Chips, Pop-Up Restaurants"
2. Running Goose,4.5 star rating,1077,"$$Tapas/Small Plates, Gastropubs, Latin American"
3. Howlin’ Ray’s,4.5 star rating,6543,"$$Southern, Chicken Shop, American (Traditional)"
4. Republique,4 star rating,5607,"$$French, Breakfast & Brunch, Cocktail Bars"
5. The Rooftop at The Wayfarer Downtown LA,4 star rating,80,"$$$American (New), Cocktail Bars, Tiki Bars"
6. Dave’s Hot Chicken,4.5 star rating,3343,"$$Chicken Shop, Halal"
7. SUPAMU,4.5 star rating,8,Japanese
8. Bao Dim Sum House,4 star rating,3003,"$$Dim Sum, Bars, Tapas/Small Plates"
9. Woo Hyang Woo,5 star rating,90,"Korean, Barbeque, Bars"
10. The Barish,5 star rating,4,"American (New), Steakhouses, Italian"
Westfield Century City,3.5 star rating,1124,"$$$Department Stores, Food Court, Shopping Centers"
231. Manuela,4 star rating,1017,"$$American (New), Breakfast & Brunch, Bars"
232. Supremo,4.5 star rating,192,$$Italian
233. Son of a Gun,4 star rating,1680,$$$Seafood
234. Sonoritas Prime Tacos,4 star rating,1196,$$Mexican
235. Open Sesame,4 star rating,763,"$$Mediterranean, Lebanese, Halal"
236. My Dung Sandwich Shop,4.5 star rating,134,"$Sandwiches, Vietnamese"
237. Genwa Korean BBQ,4.5 star rating,2826,"$$Korean, Barbeque, Seafood"
238. Hasiba,4.5 star rating,217,"$$Middle Eastern, Vegetarian, Kosher"
239. Eataly Los Angeles,3.5 star rating,2141,"$$Specialty Food, Italian, Food Court"
240. Animal,4 star rating,3364,"$$$American (New), Breakfast & Brunch, Wine Bars"
Westfield Century City,3.5 star rating,1124,"$$$Department Stores, Food Court, Shopping Centers"
211. Mr Fries Man,4.5 star rating,5,Barbeque
212. Cielito Lindo,4 star rating,875,$Mexican
213. Gus’s World Famous Fried Chicken,4 star rating,1464,"$$Southern, Chicken Shop, Comfort Food"
214. Hae Ha Heng Thai Bistro,4.5 star rating,1244,$$Thai
215. The Empanada Factory,4 star rating,318,"$Argentine, Latin American, Empanadas"
216. Pizzeria Mozza,4 star rating,4275,$$Pizza
217. El Zarape,4.5 star rating,656,$Mexican
218. Comfort LA,4 star rating,950,"$$Comfort Food, Chicken Wings, Soul Food"
219. The Kluckin Chicken,4.5 star rating,218,$$Chicken Shop
220. Corn Man,4.5 star rating,948,"$Food Stands, Mexican"
Westfield Century City,3.5 star rating,1124,"$$$Food Court, Department Stores, Shopping Centers"
131. Ruen Pair,4 star rating,1791,$$Thai
132. Cafe Beaujolais,4.5 star rating,1422,$$French
133. Seoul Pho,4.5 star rating,123,$$Vietnamese
134. Hotville Chicken,4 star rating,250,$$Chicken Shop
135. Carney’s Sunset Strip,4 star rating,796,"$Burgers, Hot Dogs, Sandwiches"
136. Faith & Flower,4 star rating,2524,"$$$American (New), Cocktail Bars"
137. A Food Affair,4.5 star rating,1320,$$French
138. Ta-eem Grill,4.5 star rating,1125,"$$Mediterranean, Kosher"
139. The Seafood Xperience,4 star rating,94,$$Seafood
140. Dollar Hits,4 star rating,335,$Filipino
Westfield Century City,3.5 star rating,1124,"$$$Department Stores, Shopping Centers, Food Court"
221. Mercado Los Angeles,4 star rating,1179,"$$Mexican, Cocktail Bars"
222. Hinoki & The Bird,3.5 star rating,1421,$$$American (New)
223. Singapore’s Banana Leaf,3.5 star rating,697,"$$Singaporean, Indonesian, Malaysian"
224. The Bun Bunn,4.5 star rating,40,$$Chicken Shop
225. Soom Soom Fresh Mediterranean - Los Angeles,4 star rating,434,"$$Mediterranean, Gluten-Free"
226. TGI Korean BBQ,4.5 star rating,539,"$$Korean, Barbeque, Asian Fusion"
227. Fish Bone Seafood,5 star rating,2,"Seafood, Fish & Chips, Southern"
228. Powerplant Superfood Cafe,4.5 star rating,632,"$$Gluten-Free, Vegan, Comfort Food"
229. Little Kingston Jamaican Restaurant,3.5 star rating,369,$$Caribbean
230. Pho Saigon Pearl,4 star rating,774,"$$Vietnamese, Noodles, Bubble Tea"
Westfield Century City,3.5 star rating,1124,"$$$Department Stores, Food Court, Shopping Centers"
61. Sun Nong Dan,4 star rating,1679,"$$Korean, Soup"
62. Mario’s Peruvian & Seafood,4 star rating,2363,"$$Seafood, Peruvian"
63. Guisados,4.5 star rating,2141,$Mexican
64. Sugar Taco,4.5 star rating,553,"$$Mexican, Vegetarian"
65. CHD,4.5 star rating,72,$$Korean
66. Kobawoo House,4.5 star rating,1227,"$$Korean, Soup, Seafood"
67. Larchmont Village Wine Spirits & Cheese,4.5 star rating,933,"$Beer, Wine & Spirits, Sandwiches, Cheese Shops"
68. Little Jewel of New Orleans,4 star rating,1753,"$$Delis, Grocery, Cajun/Creole"
69. Bavel,4.5 star rating,1393,$$$Middle Eastern
70. Rutt’s Hawaiian Cafe,4 star rating,1773,$$Hawaiian
Westfield Century City,3.5 star rating,1124,"$$$Food Court, Department Stores, Shopping Centers"
111. Pearl River Deli,5 star rating,115,"$$Cantonese, Comfort Food"
112. Masa of Echo Park,4 star rating,4244,"$$Pizza, Sandwiches, Wraps"
113. Joe’s Falafel,4.5 star rating,2086,$$Mediterranean
114. Dave’s Hot Chicken,4 star rating,307,$$Chicken Shop
115. Joy,4.5 star rating,868,"$$Taiwanese, Chinese, Coffee & Tea"
116. Father’s Office,3.5 star rating,6038,"$$American (New), Burgers, Gastropubs"
117. Yang Chow,4 star rating,2651,"$$Chinese, Seafood, Noodles"
118. M Grill,4.5 star rating,2125,"$$$Brazilian, Steakhouses, Wine Bars"
119. The Burrow,5 star rating,280,"$$Sandwiches, Cocktail Bars, Gastropubs"
120. Mendocino Farms,4.5 star rating,1139,"$$Sandwiches, Salad"
Westfield Century City,3.5 star rating,1124,"$$$Food Court, Department Stores, Shopping Centers"
181. Wirtshaus,4 star rating,886,"$$German, Pubs, Beer Gardens"
182. Roscoe’s House of Chicken & Waffles,4 star rating,2857,"$$Soul Food, Waffles, Chicken Shop"
183. Providence,4.5 star rating,2680,"$$$$American (New), Seafood"
184. Urth Caffé- Downtown LA,4 star rating,5345,"$$Coffee & Tea, Desserts, Sandwiches"
185. Little Dom’s,3.5 star rating,1571,$$American (New)
186. Guisados DTLA,4.5 star rating,1851,$Mexican
187. Chinchikurin - Little Tokyo,4 star rating,606,$$Japanese
188. Kali Restaurant,4.5 star rating,580,$$$American (New)
189. Chinchikurin - Sawtelle,4.5 star rating,558,$$Japanese
190. Hoy’s Wok Chinese Restaurant,4 star rating,669,$$Chinese
Westfield Century City,3.5 star rating,1124,"$$$Department Stores, Food Court, Shopping Centers"
31. Marugame Monzo,4.5 star rating,3766,"$$Japanese, Noodles, Asian Fusion"
32. Osteria Mamma,4 star rating,1645,"$$Italian, Wine Bars"
33. Guelaguetza Restaurante,4 star rating,2317,$$Mexican
34. Papi Tacos & Churros,4 star rating,410,Tacos
35. La Pergoletta,4.5 star rating,917,$$Italian
36. Kang Ho-dong Baekjeong,4.5 star rating,4322,"$$Barbeque, Korean"
37. Yuk Dae Jang,4.5 star rating,559,"$$Korean, Comfort Food, Soup"
38. Yup Dduk LA,4.5 star rating,2069,$$Korean
39. Pink’s Hot Dogs,3.5 star rating,7148,$Hot Dogs
40. Met Her At A Bar,4.5 star rating,1547,"$$Cafes, Breakfast & Brunch, American (New)"
Westfield Century City,3.5 star rating,1124,"$$$Food Court, Shopping Centers, Department Stores"
121. Dune,4.5 star rating,766,"$$Falafel, Salad, Sandwiches"
122. Boo’s Philly Cheesesteaks - Silverlake,4.5 star rating,1185,"$Cheesesteaks, Sandwiches, American (New)"
123. Yard House,3.5 star rating,2680,"$$Bars, Vegetarian, American (New)"
124. Cafe Gratitude,4 star rating,2115,"$$Vegan, Vegetarian"
125. La Pupusa Urban Eatery,4.5 star rating,292,$$Salvadoran
126. Fat Sal’s Deli - Hollywood,4 star rating,2179,"$$Sandwiches, Burgers"
127. Annie’s Soul Delicious,4.5 star rating,203,"$$Soul Food, Southern"
128. Stout Burgers & Beers,4 star rating,2116,"$$Burgers, Gastropubs, American (Traditional)"
129. Osteria Mozza,4 star rating,2816,"$$$$Italian, Wine Bars"
130. Tatsu Ramen,4 star rating,3617,$$Ramen
Westfield Century City,3.5 star rating,1124,"$$$Department Stores, Shopping Centers, Food Court"
201. Wood Spoon,4 star rating,1407,$$Brazilian
202. Majordomo,4 star rating,999,"$$$Asian Fusion, Bars, Venues & Event Spaces"
203. Zankou Chicken - Hollywood,3.5 star rating,1070,$Mediterranean
204. Sushi Gen,4.5 star rating,3795,"$$$Sushi Bars, Japanese"
205. Emporium Thai,4 star rating,2336,"$$Thai, Noodles, Beer Gardens"
206. Maccheroni Republic,4.5 star rating,3014,"$$Italian, Wine Bars"
207. Crab House,4 star rating,214,"$$Korean, Seafood, Live/Raw Food"
208. Spitz - Little Tokyo,4 star rating,1640,"$$Mediterranean, Beer Bar"
209. Mama Shelter Rooftop Bar,3.5 star rating,509,"$$American (New), Cocktail Bars, Wine Bars"
210. Momed Atwater Village,4 star rating,616,"$$Mediterranean, Cocktail Bars"
Westfield Century City,3.5 star rating,1124,"$$$Department Stores, Food Court, Shopping Centers"
191. Berlins,4.5 star rating,1001,"$Bubble Tea, German, Sandwiches"
192. The Crack Shack,4 star rating,414,"$$Chicken Shop, Sandwiches"
193. Hoy-Ka Thai Restaurant,4.5 star rating,1886,"$$Thai, Noodles"
194. Poppy + Rose,4 star rating,2428,"$$Breakfast & Brunch, American (New), Comfort Food"
195. Spitz - Los Feliz,4 star rating,772,"$$Bars, Sandwiches, Mediterranean"
196. La Fonda Antioquena,4 star rating,434,$$Colombian
197. Fish Grill,4 star rating,290,"$$Seafood, Kosher"
198. Ohana Superette,4 star rating,184,"$$Hawaiian, Seafood"
199. Dino’s Chicken and Burgers,4 star rating,2048,"$Burgers, Mexican"
200. Banh Oui,4.5 star rating,217,"$$Sandwiches, Burgers"
Westfield Century City,3.5 star rating,1124,"$$$Food Court, Department Stores, Shopping Centers"
41. My Two Cents,4.5 star rating,700,"$$Southern, Seafood, Soul Food"
42. Versailles,4 star rating,1488,"$$Cuban, Sandwiches, Caribbean"
43. Simpang Asia,4 star rating,1609,"$$Indonesian, Malaysian, Halal"
44. Pampas Grill,4 star rating,1227,$$Brazilian
45. Ha Sun Saeng - Master Ha,4.5 star rating,366,"$$Korean, Live/Raw Food, Seafood"
46. Flaco.,5 star rating,24,Tacos
47. Cleo Hollywood,4 star rating,1752,"$$$Mediterranean, Venues & Event Spaces, Tapas/Small Plates"
48. Crispy School,5 star rating,341,"$$Burgers, American (New)"
49. Bestia,4.5 star rating,6214,"$$$Italian, Cocktail Bars, Pizza"
50. Lobster & Beer,4 star rating,796,"$$Seafood, Beer Bar, Sports Bars"
Westfield Century City,3.5 star rating,1124,"$$$Shopping Centers, Department Stores, Food Court"
91. Mike’s Deli,4.5 star rating,870,"$$Delis, Salad, Sandwiches"
92. Roscoe’s House of Chicken & Waffles,4 star rating,3980,"$$Soul Food, Waffles, Chicken Wings"
93. Chadolpoong,4.5 star rating,318,"$$Korean, Barbeque, Soup"
94. Eggslut,4 star rating,5811,"$Breakfast & Brunch, Sandwiches"
95. Sidewalk Grill,4.5 star rating,1008,"$$Mediterranean, Salad, Wraps"
96. Sonoratown,4.5 star rating,1203,$Mexican
97. Thanks Pizza,4.5 star rating,20,Pizza
98. Egg Bomb,4.5 star rating,20,Korean
99. Lady Byrd Cafe,4 star rating,328,"American (New), Cafes"
100. Home Restaurant - Los Feliz,4 star rating,3003,"$$Breakfast & Brunch, Coffee & Tea, American (New)"
